,1.0 µm beads,1.0 µm beads,1.0 µm beads,200 nm beads,200 nm beads,200 nm beads,20 nm beads,20 nm beads,20 nm beads
,initial,treated with no fiber,treated with cationic fiber,initial,treated with no fiber,treated with cationic fiber,initial,treated with no fiber,treated with cationic fiber
bead concentration (mg/L),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.)
1.0_test #1,1.72,1.60,1.45,0.65,0.52,0.68,0.67,0.53,0.48
1.0_test #2,1.74,1.57,1.40,0.68,0.52,0.63,0.69,0.48,0.44
1.0_test #3,1.73,1.59,1.34,0.67,0.54,0.65,0.69,0.44,0.49
1.0_test #4,,1.55,1.37,0.64,0.50,0.65,,0.47,0.48
1.0_test #5,,,,0.64,0.52,0.65,,0.52,0.48
1.0_Average,1.73,1.58,1.39,0.66,0.52,0.65,0.68,0.49,0.47
1.0_SD,0.01,0.02,0.04,0.01,0.01,0.02,0.01,0.03,0.02
0.5_test #1,1.07,0.89,0.84,0.49,0.32,0.35,0.52,0.29,0.27
0.5_test #2,1.10,0.87,0.91,0.40,0.34,0.32,0.51,0.27,0.29
0.5_test #3,1.09,0.84,0.77,0.47,0.31,0.37,0.50,0.23,0.25
0.5_test #4,,0.84,0.81,0.51,0.32,0.35,,0.25,0.28
0.5_test #5,,,,0.49,0.34,0.37,,0.29,0.27
0.5_Average,1.08,0.86,0.83,0.47,0.33,0.35,0.51,0.27,0.27
0.5_SD,0.01,0.02,0.05,0.04,0.01,0.02,0.01,0.02,0.01
0.4_test #1,0.95,0.70,0.64,0.48,0.24,0.27,0.50,0.19,0.25
0.4_test #2,0.81,0.80,0.70,0.50,0.22,0.32,0.46,0.20,0.23
0.4_test #3,0.84,0.78,0.62,0.43,0.36,0.31,0.44,0.22,0.22
0.4_test #4,,0.70,0.64,0.41,0.27,0.28,,0.27,0.19
0.4_test #5,,,,0.48,0.20,0.31,,0.22,0.19
0.4_Average,0.87,0.74,0.65,0.46,0.26,0.30,0.47,0.22,0.22
0.4_SD,0.06,0.05,0.03,0.03,0.06,0.02,0.02,0.02,0.02
0.2_test #1,0.67,0.41,0.34,0.34,0.15,0.20,0.39,0.11,0.12
0.2_test #2,0.75,0.47,0.31,0.36,0.17,0.15,0.44,0.14,0.09
0.2_test #3,0.72,0.51,0.42,0.33,0.17,0.21,0.37,0.10,0.09
0.2_test #4,,0.45,0.39,0.39,0.18,0.17,,0.10,0.11
0.2_test #5,,,,0.34,0.16,0.19,,0.13,0.15
0.2_Average,0.71,0.46,0.36,0.35,0.16,0.18,0.40,0.12,0.11
0.2_SD,0.03,0.03,0.04,0.02,0.01,0.02,0.03,0.01,0.02
0.0_test #1,0.25,0.17,0.11,0.25,0.04,0.08,0.36,0.05,0.01
0.0_test #2,0.36,0.14,0.11,0.28,0.04,0.05,0.37,0.01,0.01
0.0_test #3,0.28,0.17,0.06,0.31,0.08,0.06,0.31,0.04,0.04
0.0_test #4,,0.17,0.14,0.24,0.06,0.05,,0.04,0.04
0.0_test #5,,,,0.30,0.06,0.04,,0.06,0.01
0.0_Average,0.29,0.16,0.10,0.28,0.06,0.06,0.35,0.04,0.02
0.0_SD,0.05,0.01,0.03,0.03,0.02,0.01,0.03,0.02,0.01
