raw data,unmodified,oxidized (0.5 hr),oxidized (1 hr),oxidized (2 hr),oxidized (4 hr),cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
wavenumber (cm-1),intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity
1593,0.55577992,1.744903421,0.195863873,0.25746706,0.77206007,0.37260788,1.483064318,1.13364339,0.62596078
1595,0.5545239,1.75339458,0.209138155,0.26918045,0.80010282,0.38004358,1.522938275,1.17390802,0.62752604
1597,0.55480781,1.750509191,0.217426375,0.27489895,0.84360847,0.39088614,1.567327237,1.20699275,0.64029303
1599,0.56778256,1.735801291,0.23471877,0.29149237,0.88023137,0.40316455,1.618314219,1.24938068,0.64758867
1601,0.5843554,1.693615913,0.251030624,0.31364012,0.90719461,0.40932809,1.645631814,1.28578815,0.66053734
1603,0.59638692,1.658496571,0.263300717,0.32969987,0.95613612,0.42352304,1.707844305,1.33410931,0.68298682
1605,0.59519166,1.607219243,0.255541265,0.35334033,0.99446847,0.43761488,1.805399656,1.37234128,0.71272699
1607,0.59574299,1.539584303,0.25427717,0.35825905,1.00290684,0.45039721,1.87102437,1.40753767,0.73357745
1609,0.58126057,1.46540885,0.2708399,0.36459991,1.03137755,0.46191669,1.93101213,1.47673872,0.747754
1611,0.5705658,1.41216042,0.286880404,0.36944568,1.07014685,0.47327657,1.999408889,1.54485478,0.7609697
1613,0.55625464,1.356569171,0.281483561,0.37548953,1.08642309,0.48947824,2.078425074,1.5871768,0.78191411
1615,0.52583562,1.292659497,0.261228085,0.37506047,1.08911755,0.4992683,2.100002909,1.60332284,0.78802985
1617,0.51992718,1.228535318,0.263842374,0.39844161,1.14133275,0.52529725,2.255153275,1.73643305,0.85130097
1619,0.52436285,1.194773889,0.287536144,0.41499314,1.15884039,0.55238963,2.312178612,1.80383191,0.87728457
1621,0.51212016,1.14532721,0.296228468,0.41166747,1.13493972,0.56016321,2.318818283,1.81101043,0.90350982
1623,0.50730339,1.082659364,0.289310336,0.4185091,1.14660637,0.58137898,2.412652922,1.8830457,0.94875585
1625,0.49843039,1.036774302,0.27971983,0.42941707,1.15870507,0.58784735,2.473378372,1.93806326,0.96266153
1627,0.4932512,0.983644259,0.279308438,0.43135843,1.16421304,0.59074678,2.534343338,1.99360728,0.9882883
1629,0.49672532,0.939706206,0.299718618,0.4309209,1.15797992,0.60459577,2.607848454,2.02930157,1.01628237
1631,0.48418859,0.909101737,0.295931637,0.41241121,1.14202688,0.61191713,2.619298983,2.02718382,1.02897124
1633,0.45070847,0.876351106,0.279593825,0.39641619,1.11777151,0.59657621,2.573685503,1.98386574,1.03366827
1635,0.40571954,0.817265391,0.249212056,0.38632318,1.10724559,0.60615773,2.605986547,2.0206099,1.06162337
1637,0.41676502,0.814493346,0.257228464,0.39259806,1.09083898,0.61038573,2.635746193,2.05770664,1.10302219
1639,0.41526223,0.815085828,0.288445741,0.39395326,1.09097733,0.59310535,2.607464552,2.03335595,1.08995478
1641,0.41345645,0.796636045,0.298768729,0.39256439,1.0639266,0.59039019,2.575811481,1.99635143,1.07867665
1643,0.41579196,0.773461413,0.293701947,0.38308242,1.03378259,0.57337507,2.512159634,1.94619257,1.08299873
1645,0.39905764,0.726111543,0.250269771,0.34769616,0.99442488,0.56623948,2.442248344,1.91780438,1.10988641
1647,0.36835186,0.690139318,0.225308776,0.3377229,0.96830243,0.57661628,2.468154621,1.99949229,1.14712174
1649,0.34987386,0.680831861,0.233696133,0.33866155,0.93907139,0.56833265,2.49270339,2.00843813,1.13136017
1651,0.3264627,0.640781927,0.208598018,0.31411842,0.8860445,0.52825303,2.418019295,1.94441662,1.11634352
1653,0.29549747,0.630475032,0.167589307,0.29627553,0.85409098,0.54108625,2.553743601,2.10200996,1.189835
1655,0.31478191,0.626422465,0.221391663,0.3147347,0.85615275,0.61011716,2.687066269,2.20307422,1.24287972
1657,0.32047227,0.614916873,0.227447852,0.30111679,0.82633214,0.64746604,2.710993958,2.21915197,1.24893229
1659,0.30641091,0.596397948,0.224759132,0.28886157,0.7840257,0.66836647,2.762661695,2.27113886,1.26929829
1661,0.29256609,0.56920414,0.215286836,0.26263553,0.7330212,0.68704777,2.819527197,2.35093584,1.33116796
1663,0.27473183,0.54793793,0.195540741,0.25122216,0.71272817,0.75668144,3.047449017,2.6046423,1.45085585
1665,0.24977024,0.536955869,0.182111442,0.24923629,0.69597502,0.79947674,3.209041357,2.74514408,1.52352366
1667,0.23818636,0.515925372,0.168864712,0.23258893,0.66609025,0.82440208,3.315402269,2.81518831,1.59561656
1669,0.23913244,0.500305897,0.154520869,0.20099036,0.64369305,0.9208238,3.655045748,3.15760255,1.79417524
1671,0.23510334,0.488809121,0.162619486,0.2000965,0.62652552,1.02366893,4.043889999,3.53336711,2.02332597
1673,0.22933802,0.47023772,0.154836476,0.19549693,0.60479099,1.06380105,4.181254578,3.65429235,2.09675422
1675,0.21212799,0.461812866,0.138400078,0.18646498,0.59765882,1.14906969,4.639101601,4.04559584,2.35034575
1677,0.19546899,0.463002098,0.136137143,0.19078532,0.56610622,1.21253016,4.945371342,4.23342113,2.49461274
1679,0.18426228,0.46139369,0.139910668,0.18164757,0.55767407,1.2896338,5.179064083,4.4531539,2.65895886
1681,0.1737397,0.46236698,0.128676951,0.16613322,0.56150774,1.33023434,5.338523293,4.55644064,2.79019361
1683,0.19378533,0.420563173,0.110342279,0.12251809,0.53788177,1.35437496,5.462378597,4.67358809,2.97352452
1685,0.16954424,0.45899229,0.118439041,0.14394972,0.57503933,1.48277152,6.108635807,5.15835819,3.34934535
1687,0.14368892,0.475652897,0.129966483,0.16299601,0.58465112,1.49130895,6.204373074,5.09674835,3.38829341
1689,0.14373658,0.469415826,0.139780432,0.16891758,0.58444318,1.48721087,6.258327675,5.03486156,3.43132558
1691,0.14657317,0.475124079,0.122622281,0.16351388,0.58397508,1.48917618,6.237314892,4.88964062,3.38795285
1693,0.15537739,0.465859377,0.119624987,0.15740387,0.5522211,1.46559897,6.044513988,4.68776264,3.32309151
1695,0.14491186,0.444896019,0.107104182,0.1399592,0.52881682,1.44813716,5.937527275,4.64904537,3.47345262
1697,0.12456886,0.415543944,0.089838251,0.13796949,0.5170439,1.39198146,5.724121857,4.46124134,3.46341643
1699,0.11276287,0.381919837,0.067322284,0.11487535,0.47105953,1.33046196,5.545273304,4.33406878,3.43096361
1701,0.11042063,0.361840039,0.086289406,0.12891665,0.49350883,1.26379683,5.114082718,3.92880983,3.19753528
1703,0.10305594,0.348777521,0.078241035,0.128086,0.47170757,1.18300929,4.682096767,3.57991261,2.99691396
1705,0.09280631,0.330401474,0.082929954,0.12932357,0.46001069,1.10498331,4.286097813,3.27303486,2.8355186
1707,0.09883196,0.319920188,0.079847701,0.14103067,0.48391616,0.99424876,3.786387682,2.8474412,2.50385065
1709,0.10798893,0.309112608,0.080317117,0.1423914,0.49652225,0.88968713,3.36569128,2.49948678,2.25193024
1711,0.10325555,0.296441811,0.088655792,0.14657298,0.50960212,0.7892874,2.915500593,2.17570992,1.99366863
1713,0.08642168,0.29186061,0.084072717,0.1512908,0.51477921,0.69525305,2.58647933,1.92266862,1.82823212
1715,0.07677169,0.274104369,0.0709638,0.15555024,0.53220345,0.59894638,2.223010969,1.67706649,1.64674742
1717,0.0778261,0.246481362,0.060398221,0.1466281,0.57642404,0.50209516,1.903705025,1.43322818,1.45644526
1719,0.08319454,0.260203892,0.084404565,0.1735853,0.67595354,0.42372109,1.560247493,1.18535247,1.1703162
1721,0.08595907,0.278336567,0.099669315,0.18775268,0.69138186,0.3722698,1.34559319,1.04599125,0.98964832
1723,0.09963504,0.286110151,0.1079446,0.19684035,0.72976906,0.31683318,1.164331126,0.92029468,0.85961154
1725,0.10066612,0.285260344,0.106707163,0.20881999,0.774166,0.27766526,1.023372185,0.79903539,0.75203401
1727,0.09514686,0.296239376,0.101787232,0.21052088,0.80129892,0.24373248,0.900211608,0.7191412,0.65779428
1729,0.08805694,0.303649175,0.086040825,0.21232753,0.83063844,0.20992119,0.831676519,0.65532148,0.59623739
1731,0.0923222,0.294286442,0.07903935,0.21265014,0.82245702,0.1934691,0.745656109,0.59332311,0.520076
1733,0.09442829,0.275343561,0.050957743,0.2032657,0.77932868,0.1607731,0.738354385,0.52396458,0.48299221
1735,0.08926968,0.262510768,0.08293549,0.20868258,0.75606955,0.14703087,0.672556043,0.48830404,0.40458672
1737,0.08709092,0.256305975,0.08812426,0.20487159,0.70513935,0.14502151,0.617204726,0.45663992,0.35297365
1739,0.08296008,0.241870111,0.07898812,0.18380055,0.66584166,0.12944669,0.551420361,0.4157693,0.32156203
1741,0.08845147,0.229504502,0.07338395,0.17522778,0.61363137,0.10887875,0.51318422,0.38364927,0.3109115
1743,0.09073263,0.223497871,0.075339012,0.14819355,0.54709986,0.11295059,0.5223912,0.36681497,0.31183255
1745,0.08340902,0.205995491,0.067242302,0.10983735,0.48158329,0.12236024,0.47543804,0.35222386,0.29506321
1747,0.07207523,0.201523811,0.052893702,0.1077555,0.45619441,0.11918179,0.455856413,0.33545061,0.28046353
1749,0.05902964,0.18874678,0.051684469,0.09483057,0.41816751,0.10282778,0.437258449,0.31707883,0.26167975
1751,0.06829091,0.18439348,0.04867899,0.08479855,0.35861311,0.11012459,0.431498927,0.33094575,0.25170669
1753,0.06708944,0.17704452,0.03114135,0.08804072,0.33345392,0.09946199,0.40698477,0.3157061,0.24159558
