unmodified,cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
fiber diameter (µm),fiber diameter (µm),fiber diameter (µm),fiber diameter (µm),fiber diameter (µm)
,9.0,12.4,16.5,12.2
,9.4,14.5,13.4,13.1
,15.5,17.2,5.5,18.7
,12.4,13.2,7.5,20.0
,14.7,16.7,10.2,8.6
,10.2,9.9,13.0,7.8
,12.8,7.8,10.9,13.9
,14.6,9.5,13.3,12.9
,16.4,9.0,7.3,15.1
,13.3,5.5,7.7,13.0
,14.1,3.2,7.2,14.6
,15.3,10.8,4.1,12.1
,17.7,,5.9,20.9
,13.0,,15.9,16.4
,9.8,,16.4,14.6
,9.7,,20.2,17.6
,13.8,,20.0,15.1
,12.8,,17.9,3.9
,8.4,,10.6,14.7
,8.2,,12.2,10.7
,7.9,,15.4,14.5
,12.1,,16.0,14.6
,8.9,,14.5,17.9
,14.7,,10.9,14.9
,11.6,,10.7,12.3
,11.0,,12.1,14.8
,6.6,,16.8,9.0
,17.5,,7.2,8.8
,19.6,,13.5,7.2
,10.4,,15.0,7.7
,12.5,,12.2,9.6
,12.0,,13.0,12.3
,14.3,,6.1,11.1
,10.8,,11.2,6.9
,12.6,,10.0,7.9
,7.9,,8.7,8.7
,8.2,,8.9,7.2
,6.8,,10.8,14.7
,10.1,,8.5,7.2
,10.6,,9.7,13.1
,7.9,,13.5,8.8
,,,13.2,6.4
,,,24.1,10.4
,,,11.0,11.0
,,,9.3,15.6
,,,12.4,14.2
,,,17.8,10.9
,,,11.8,13.7
,,,13.0,15.4
,,,16.9,3.8
,,,11.2,6.9
,,,12.8,3.5
,,,12.6,8.9
,,,20.1,11.9
,,,18.1,9.8
,,,6.9,8.2
,,,11.5,11.3
,,,11.0,14.6
,,,11.2,16.0
,,,6.7,13.4
,,,12.5,11.3
,,,8.5,11.2
,,,14.4,9.4
,,,14.3,7.5
,,,9.9,11.0
,,,10.3,12.1
,,,11.7,11.4
,,,6.3,12.4
,,,11.6,11.6
,,,12.6,8.6
,,,15.0,8.1
,,,12.1,
,,,8.2,
,,,10.4,
,,,13.0,
,,,12.4,
,,,10.7,
,,,10.5,
,,,10.8,
,,,14.8,
,,,18.8,
,,,14.1,
,,,14.5,
,,,10.6,
,,,8.9,
,,,14.9,
,,,14.3,
,,,14.1,
,,,19.8,
,,,18.3,
,,,24.2,
,,,21.3,
,,,18.6,
,,,15.0,
,,,10.1,
